date,T2M,RH2M
1984-01-01,24.97,89.35
1984-01-02,24.75,90.53
1984-01-03,24.12,90.54
1984-01-04,24.6,91.67
1984-01-05,24.91,90.3
1984-01-06,25.09,90.12
1984-01-07,24.74,93.09
1984-01-08,25.06,91.43
1984-01-09,24.66,91.63
1984-01-10,24.82,91.85
1984-01-11,24.6,93
1984-01-12,24.6,91.75
1984-01-13,24.9,90.3
1984-01-14,25.06,90.15
1984-01-15,25.39,88.28
1984-01-16,25.53,88.72
1984-01-17,25.4,87.84
1984-01-18,25.77,85.88
1984-01-19,25.44,87.86
1984-01-20,24.67,88.94
1984-01-21,26.04,82.73
1984-01-22,25.46,88.07
1984-01-23,25.66,88.08
1984-01-24,25.04,88.76
1984-01-25,24.57,89.11
1984-01-26,24.59,91.27
1984-01-27,24.58,92.61
1984-01-28,24.67,90.19
1984-01-29,24.25,90.96
1984-01-30,24.52,89.78
1984-01-31,24.71,90.99
1984-02-01,24.94,88.87
1984-02-02,24.51,90.37
1984-02-03,24.73,92.39
1984-02-04,24.89,90.26
1984-02-05,24.43,91.39
1984-02-06,25.28,89.74
1984-02-07,24.53,92.89
1984-02-08,24.11,92.59
1984-02-09,23.98,91.69
1984-02-10,25.27,88.91
1984-02-11,25.31,89.24
1984-02-12,24.99,91.21
1984-02-13,24.68,89.75
1984-02-14,24.68,88.63
1984-02-15,24.68,90.81
1984-02-16,24.91,89.59
1984-02-17,24.81,87.64
1984-02-18,24.74,86.91
1984-02-19,23.77,92.09
1984-02-20,24.89,87.42
1984-02-21,25.15,87.12
1984-02-22,25.07,88.48
1984-02-23,24.99,87.74
1984-02-24,25.91,84.92
1984-02-25,25.99,87.41
1984-02-26,25.48,88.98
1984-02-27,25.55,89.22
1984-02-28,25.19,88.75
1984-02-29,25.21,90.56
1984-03-01,25.35,90.79
1984-03-02,24.97,90.5
1984-03-03,25.12,90.95
1984-03-04,25.36,91.08
1984-03-05,25.11,90.15
1984-03-06,25.09,89.32
1984-03-07,25.55,88.03
1984-03-08,25.69,86.83
1984-03-09,25.93,85.59
1984-03-10,26.18,82.69
1984-03-11,26.37,82.02
1984-03-12,26.7,81.91
1984-03-13,26.44,82.08
1984-03-14,26.88,81.52
1984-03-15,27.38,79.17
1984-03-16,27.12,81.62
1984-03-17,26.48,84.62
1984-03-18,25.51,84.58
1984-03-19,27.8,75.48
1984-03-20,27.32,81.7
1984-03-21,26.33,85.06
1984-03-22,26.33,84.95
1984-03-23,26.38,85.5
1984-03-24,26.31,85.39
1984-03-25,26.46,86.45
1984-03-26,26.11,88.76
1984-03-27,26.28,87.45
1984-03-28,27.34,78.47
1984-03-29,26.81,83.82
1984-03-30,26.61,85.89
1984-03-31,26.5,84.47
1984-04-01,26.85,84.68
1984-04-02,26.27,87.75
1984-04-03,27.12,82.3
1984-04-04,27.34,82.67
1984-04-05,27.34,81.76
1984-04-06,27.87,78.84
1984-04-07,27.14,82.65
1984-04-08,27.27,82.79
1984-04-09,26.57,86.21
1984-04-10,27.27,78.34
1984-04-11,27.08,82.54
1984-04-12,26.73,84.54
1984-04-13,26.83,83.12
1984-04-14,27.66,78.19
1984-04-15,27.58,81.67
1984-04-16,26.71,85.71
1984-04-17,26.81,85.06
1984-04-18,26.28,85.51
1984-04-19,26.32,88.04
1984-04-20,26.57,85.73
1984-04-21,26.72,85.62
1984-04-22,26.46,88.75
1984-04-23,26.46,87.58
1984-04-24,26.98,84.77
1984-04-25,28.16,78.93
1984-04-26,27.36,84.73
1984-04-27,26.7,81.76
1984-04-28,26.38,83.3
1984-04-29,27.57,80.12
1984-04-30,27.2,84.09
1984-05-01,27.52,82.46
1984-05-02,27.44,81.3
1984-05-03,27.45,81.48
1984-05-04,26.87,85.79
1984-05-05,26.97,86.33
1984-05-06,26.76,82.35
1984-05-07,26.45,83.17
1984-05-08,27.15,78.76
1984-05-09,27.26,80.25
1984-05-10,27.1,79.59
1984-05-11,27.18,81.76
