date,T2M,RH2M,THI
1984-01-01,-3.12,93.83,-2.522065299999999
1984-01-02,-2.41,93.62,-1.816628099999999
1984-01-03,-3.63,97.18,-3.3488036999999995
1984-01-04,0.59,93.95,1.0528552500000008
1984-01-05,-1.51,95.7,-1.131363499999999
1984-01-06,-0.31,87.03,0.7464713500000013
1984-01-07,-3.1,80.43,-1.2056239999999994
1984-01-08,-3.21,85.43,-1.7908091499999996
1984-01-09,-3.43,88.97,-2.3422765499999985
1984-01-10,-5.99,90.79,-4.952079049999999
1984-01-11,-10.35,82.21,-7.918551749999996
1984-01-12,-7.1,86.65,-5.5140199999999995
1984-01-13,-6.23,92.34,-5.356645100000001
1984-01-14,-4.69,89.99,-3.633494549999999
1984-01-15,-6.42,84.08,-4.588244799999998
1984-01-16,-11,95.39,-10.3534475
1984-01-17,-10.95,94,-10.110149999999999
1984-01-18,-14.52,97.88,-14.181626799999997
1984-01-19,-17.4,100,-17.399999999999995
1984-01-20,-17.83,100,-17.829999999999995
1984-01-21,-18.4,100,-18.399999999999995
1984-01-22,-8.99,98.83,-8.838841849999998
1984-01-23,-3.71,94.06,-3.1150792999999983
1984-01-24,-0.81,95.43,-0.42518314999999973
1984-01-25,-1.13,94.23,-0.6339819499999988
1984-01-26,-0.48,96.07,-0.15620729999999755
1984-01-27,-3.29,88.26,-2.141299699999999
1984-01-28,-4.9,92.57,-4.107218999999997
1984-01-29,-6.09,91.53,-5.1308148499999975
1984-01-30,-3.69,86.64,-2.353398799999999
1984-01-31,-7.87,93.42,-7.0604296999999985
1984-02-01,-4.52,97.23,-4.2302303
1984-02-02,-0.95,97.59,-0.7452102499999997
1984-02-03,-0.12,92.75,0.46297250000000145
1984-02-04,-1.36,93.91,-0.8287692999999993
1984-02-05,-4.54,90.54,-3.5493487999999997
1984-02-06,-9.5,96.52,-9.04064
1984-02-07,-10.71,94.45,-9.94046475
1984-02-08,-6.13,81.27,-4.004800549999999
1984-02-09,-1.01,93.96,-0.4947577999999979
1984-02-10,2.02,93.98,2.433212800000001
1984-02-11,2.31,95.02,2.6438841000000015
1984-02-12,7.36,96.56,7.4950888
1984-02-13,6.23,88.81,6.738977150000001
1984-02-14,3.18,85.7,4.070318
1984-02-15,4.57,83.81,5.454216850000001
1984-02-16,3.57,88.18,4.2805593
1984-02-17,3.75,95.62,4.008967500000001
1984-02-18,3.08,97.37,3.245190300000001
1984-02-19,4.33,91.41,4.810481650000001
1984-02-20,1.21,82.72,2.473081600000001
1984-02-21,1.58,83.8,2.731172000000001
1984-02-22,4.25,81.88,5.271515000000001
1984-02-23,5.46,83.67,6.271927600000001
1984-02-24,2.39,88.87,3.131313650000001
1984-02-25,0.97,82.12,2.3005402000000004
1984-02-26,-0.57,77.58,1.2882817000000015
1984-02-27,-1.51,72.77,0.8877376500000016
1984-02-28,-2.52,81.16,-0.7563875999999983
1984-02-29,-3.27,74.49,-0.7767801499999978
1984-03-01,-3.78,69.5,-0.7135299999999982
1984-03-02,-1.9,63.57,1.3859860000000008
1984-03-03,-1.24,53.04,2.825327200000001
1984-03-04,-1.05,74.67,1.1163482500000013
1984-03-05,0.34,86.83,1.3656796000000013
1984-03-06,-2.88,79.11,-0.8831248999999985
1984-03-07,-5.05,69.25,-1.7436062499999982
1984-03-08,-4.71,81.17,-2.7205163499999987
1984-03-09,-5.87,74.02,-2.9593306999999984
1984-03-10,-5.3,78.9,-3.002209999999999
1984-03-11,-6.95,79.06,-4.4796035
1984-03-12,-6.74,73.36,-3.627915199999998
1984-03-13,-2.48,90.22,-1.566645799999999
1984-03-14,-0.47,86.02,0.6810433000000011
1984-03-15,3.51,96.28,3.7348554000000003
