date,T2M,RH2M,THI
1984-01-01,6.79,49.99,8.91067405
1984-01-02,4.42,39.14,7.794078400000001
1984-01-03,6.32,34.06,9.2866406
1984-01-04,9.24,44.46,10.8467722
1984-01-05,9,65.48,10.04423
1984-01-06,9.5,55.79,10.715775
1984-01-07,9.66,45.57,11.1089266
1984-01-08,10.96,37.79,12.1712287
1984-01-09,9.33,40.09,11.03354085
1984-01-10,7.18,42.73,9.4856902
1984-01-11,7.43,46.38,9.5150137
1984-01-12,4.2,46.27,7.243804500000001
1984-01-13,5.88,39.72,8.7378748
1984-01-14,4.57,53.27,7.122158950000001
1984-01-15,3.53,42.47,7.001072550000001
1984-01-16,3.67,41.67,7.144426450000001
1984-01-17,3.28,46.92,6.5555668
1984-01-18,1.85,30.5,6.685462500000002
1984-01-19,4,28.33,8.1389425
1984-01-20,3.36,43.32,6.832783600000001
1984-01-21,3.12,41.17,6.8021697
1984-01-22,4.46,59.23,6.711319400000001
1984-01-23,5.94,53.91,8.109917200000002
1984-01-24,7.94,46.99,9.852600800000001
1984-01-25,9.26,65.83,10.2447794
1984-01-26,8,48.79,9.8307575
1984-01-27,5.8,40.35,8.6542525
1984-01-28,8.93,45.88,10.5879662
1984-01-29,10.08,36.1,11.633409
1984-01-30,10.04,32.87,11.6866989
1984-01-31,9.3,34.79,11.165006
1984-02-01,10.6,37.12,11.948776
1984-02-02,9.81,36.35,11.451851750000001
1984-02-03,9.06,30.22,11.1478176
1984-02-04,10.39,34.62,11.8679149
1984-02-05,9.62,37.45,11.298842
1984-02-06,11.91,29.73,12.91099615
1984-02-07,9.98,32.14,11.6669996
1984-02-08,10.28,30.76,11.8870604
1984-02-09,10.11,36.05,11.65407275
1984-02-10,8.78,49.57,10.3665278
1984-02-11,4.74,33.92,8.287174400000001
1984-02-12,8.83,28.97,11.04507055
1984-02-13,10.87,41.56,12.0367546
1984-02-14,8.57,36.09,10.654424650000001
1984-02-15,7.1,29.35,9.975455
1984-02-16,7.7,41.21,9.898746000000001
1984-02-17,5.98,35.08,9.0221512
1984-02-18,4.16,32.28,8.0112364
1984-02-19,5.36,24.48,9.156390400000001
1984-02-20,6.17,24.33,9.63682105
1984-02-21,8.78,21.7,11.243318
1984-02-22,7.49,37.15,9.91318175
1984-02-23,5.74,25.86,9.312065200000001
1984-02-24,8.07,19.97,10.90026095
1984-02-25,6.72,35.36,9.4859456
1984-02-26,5.48,32.96,8.805854400000001
1984-02-27,6.53,26.08,9.7702832000000015
1984-02-28,10.85,18.73,12.48149525
1984-02-29,12.33,16.55,13.32597575
1984-03-01,13.55,19.15,13.972441250000001
1984-03-02,14.92,25.72,14.7484132
1984-03-03,12.56,28.79,13.3198107
1984-03-04,10.24,25.41,11.9876437
1984-03-05,6.44,24.01,9.808636700000001
1984-03-06,10.53,16.15,12.36086475
1984-03-07,13.04,23.02,13.6581494
1984-03-08,14.27,21.05,14.36987175
1984-03-09,15.06,25.99,14.8320492
1984-03-10,14.88,26.93,14.727283700000001
1984-03-11,14.02,30.97,14.2022392
1984-03-12,14.81,25.21,14.68248305
1984-03-13,14.66,25.87,14.5947656
1984-03-14,15.06,46.87,14.8963596
1984-03-15,13.96,37.37,14.1460111
1984-03-16,11.53,31.01,12.65695165
1984-03-17,11.35,26.34,12.6261595
1984-03-18,9.09,23.19,11.37548155
1984-03-19,12.66,28.01,13.388538800000001
1984-03-20,15.56,28.37,15.1423971
1984-03-21,18.22,22.3,16.630257999999998
1984-03-22,13.79,18.34,14.1088823
1984-03-23,12.59,22.41,13.40508295
1984-03-24,14.98,18.07,14.763704800000001
1984-03-25,15.37,29.38,15.0320833
1984-03-26,18.03,27.39,16.62027685
1984-03-27,13.6,27.19,13.960409499999999
1984-03-28,11.07,23.24,12.518077400000001
1984-03-29,12.97,23.91,13.61029735
1984-03-30,10.14,33.95,11.723879
1984-03-31,10.95,28.34,12.3491615
1984-04-01,9.59,31.98,11.4268801
1984-04-02,10.88,31.11,12.2515999
1984-04-03,12.87,23.1,13.5594085
1984-04-04,15.22,19.48,14.9011408
1984-04-05,14.58,36,14.55184
1984-04-06,14.8,31.98,14.687767000000001
1984-04-07,13.72,27.26,14.0320546
1984-04-08,17.08,18.51,15.9236569
1984-04-09,12.22,25.22,13.1577412
1984-04-10,16.04,17.85,15.344189499999999
1984-04-11,15.28,23.51,14.9518579
1984-04-12,18,13.03,16.3258275
1984-04-13,19.88,15.6,17.382604
1984-04-14,21,15.64,17.98413
1984-04-15,23.13,12.75,18.98867875
1984-04-16,24.45,12.85,19.68071625
1984-04-17,21.22,22.59,18.358926399999998
1984-04-18,15.45,23.32,15.049347
1984-04-19,14.25,33.06,14.3420425
1984-04-20,11.43,25.15,12.69384225
1984-04-21,13.44,22.34,13.8927578
1984-04-22,17.09,25.68,16.0313116
1984-04-23,21.67,16.75,18.38703625
1984-04-24,21.78,21.61,18.6412644
1984-04-25,13.23,17.17,13.80856755
1984-04-26,8.44,20.18,11.1004006
1984-04-27,8.78,22.22,11.2269588
1984-04-28,11.06,22.11,12.5336788
1984-04-29,14.54,15.68,14.5214496
1984-04-30,16.81,22.22,15.821805099999999
1984-05-01,18.43,26.89,16.84972735
1984-05-02,19.89,30.18,17.8201861
1984-05-03,22.72,25.53,19.353211299999998
1984-05-04,23.03,19.17,19.23786055
1984-05-05,20.58,22.89,18.0014416
1984-05-06,19.72,15.54,17.2951534
1984-05-07,18.66,12.43,16.6563984
1984-05-08,21.27,8.79,17.873795649999998
1984-05-09,25.21,8.93,19.845521650000002
1984-05-10,26.03,15.16,20.649871400000002
1984-05-11,26.55,21.25,21.33084375
1984-05-12,28.23,18.89,22.10497835
1984-05-13,28.36,17.98,22.1076154
1984-05-14,25.98,22.93,21.1138002
1984-05-15,18.32,20.37,16.6469737
1984-05-16,18.35,16.82,16.5886635
1984-05-17,22.68,11.06,18.6785894
1984-05-18,23.25,21.24,19.459675
1984-05-19,26.68,11.33,20.7399967
1984-05-20,28.63,11.41,21.74522815
1984-05-21,27.81,17.95,21.80352975
1984-05-22,28.8,18.03,22.3530595
1984-05-23,30.54,15.39,23.075705799999998
1984-05-24,29.56,19.04,22.854083199999998
1984-05-25,28.03,16.12,21.788069800000002
1984-05-26,28.25,13.71,21.72431875
1984-05-27,29.11,9.45,21.83385475
1984-05-28,30.03,8,22.17182
1984-05-29,32.2,8.58,23.300263
1984-05-30,27.92,30.14,22.7636334
1984-05-31,28.38,29.79,23.020168599999998
1984-06-01,27.35,18.65,21.60058875
1984-06-02,27.72,7.41,20.9877811
1984-06-03,24.89,14.43,20.00010235
1984-06-04,26.94,13.59,21.0278278
1984-06-05,24.25,26.49,20.30802625
1984-06-06,24.85,18.08,20.186704
1984-06-07,21.47,24.55,18.57762425
1984-06-08,22.11,15.11,18.55692905
1984-06-09,22.06,14.1,18.488277999999998
1984-06-10,22.43,15.16,18.729703399999998
1984-06-11,21.53,15.07,18.24618155
1984-06-12,24.49,14.82,19.809784899999997
1984-06-13,24.22,19.35,19.908451
1984-06-14,24.55,15.62,19.8858955
1984-06-15,24.94,13.04,19.9467568
1984-06-16,25.83,16.8,20.645391999999998
1984-06-17,28.95,15.71,22.25105225
1984-06-18,28.72,23.57,22.7424097
1984-06-19,28.85,13.19,21.99852075
1984-06-20,26.88,12.8,20.942552
1984-06-21,26.51,14.99,20.89466445
1984-06-22,27.25,11.28,21.028509999999997
1984-06-23,29.98,8.21,22.1649994
1984-06-24,29.06,11.98,22.0113584
1984-06-25,27.2,41.94,23.144509
1984-06-26,30.34,12.85,22.747492
1984-06-27,32.8,10.81,23.823026499999997
1984-06-28,34.54,12.6,24.906771999999997
1984-06-29,33.73,16.86,24.9366979
1984-06-30,30.99,16.45,23.412432749999997
1984-07-01,32.52,15.71,24.166018100000002
1984-07-02,33.89,21.29,25.49597205
1984-07-03,34.45,20.1,25.682972499999998
1984-07-04,34.79,16.02,25.4182519
1984-07-05,36.45,12.19,25.84913775
1984-07-06,35.35,14.6,25.556755
1984-07-07,34.56,13.76,25.0451408
1984-07-08,33.57,17.28,24.8939128
1984-07-09,31.66,11.95,23.349840999999998
1984-07-10,31.02,8.73,22.727207800000002
1984-07-11,32.71,9.34,23.629947700000002
1984-07-12,33.75,15.28,24.78027
1984-07-13,31.8,24.93,24.657089499999998
1984-07-14,32.34,24.55,24.936846000000003
1984-07-15,31,38.18,25.389834999999998
1984-07-16,29.99,40.01,24.879151949999997
1984-07-17,32.48,33.35,25.888981499999996
1984-07-18,32.39,38.57,26.345595149999998
1984-07-19,30.76,40.31,25.421923300000003
1984-07-20,31.21,37.45,25.46134225
1984-07-21,29.61,43.82,24.9411611
1984-07-22,25.68,52.61,22.7659889
1984-07-23,24.63,55.34,22.1417681
1984-07-24,27.46,41.05,23.258043999999998
1984-07-25,30.68,25.36,24.037786399999998
1984-07-26,30.72,26,24.11846
1984-07-27,27.78,52.02,24.2755408
1984-07-28,24.53,62.74,22.4745521
1984-07-29,25.54,57.24,22.943612799999997
1984-07-30,28.85,41.4,24.224995
1984-07-31,28.93,40.77,24.22921105
1984-08-01,29.9,34.88,24.384335999999998
1984-08-02,29.47,30.77,23.76994795
1984-08-03,28.59,24.77,22.76005115
1984-08-04,29.53,19.44,22.8705076
1984-08-05,29.57,18.38,22.804926299999998
1984-08-06,29.38,15.29,22.4473336
1984-08-07,31.14,15.76,23.4303552
1984-08-08,32.43,15.78,24.124644699999997
1984-08-09,33.53,15.3,24.6648745
1984-08-10,31.24,22.75,24.1275925
1984-08-11,30.76,26.01,24.143074300000002
1984-08-12,31.22,24.25,24.25403
1984-08-13,32.39,24.62,24.9729849
1984-08-14,29.66,38.67,24.5463046
1984-08-15,24.99,69.98,23.2579961
1984-08-16,25.76,66.37,23.6772941
1984-08-17,28.38,40.52,23.8392968
1984-08-18,29.41,39.93,24.48395965
1984-08-19,25.34,65.14,23.261646799999998
1984-08-20,24.51,62.28,22.4333254
1984-08-21,25.84,54.71,23.0152627
1984-08-22,27.6,47.24,23.798642
1984-08-23,27.82,45.21,23.8060846
1984-08-24,26.93,33.18,22.361850699999998
1984-08-25,26.3,35.22,22.095778
1984-08-26,27.19,42.6,23.183767
1984-08-27,28.77,42.39,24.248479149999998
1984-08-28,29.78,36.75,24.46447
1984-08-29,31.04,31.97,24.851310899999998
1984-08-30,31.69,29.07,24.98392315
1984-08-31,28.24,33.71,23.2304647
1984-09-01,24.23,29.21,20.44167315
1984-09-02,26.54,25.16,21.5840952
1984-09-03,28.47,28.69,22.990896149999998
1984-09-04,29.72,31.91,24.0201861
1984-09-05,31.19,33.29,25.06635555
1984-09-06,28.82,29.44,23.2626944
1984-09-07,28.14,30.65,22.937362999999998
1984-09-08,28.03,28.21,22.68774715
1984-09-09,29.46,36.96,24.2730688
1984-09-10,27.98,48.5,24.16179
1984-09-11,26.47,51.79,23.296094649999997
1984-09-12,25.76,42.63,22.2070759
1984-09-13,26.25,37.34,22.2005975
1984-09-14,27.35,33.39,22.64233825
1984-09-15,28.13,28.88,22.7984892
1984-09-16,28.83,34.72,23.6849568
1984-09-17,28.45,35.67,23.514280749999998
