location,model,optimizer,N_windows,usable,median_time_classical,median_time_symbolic,speedup,correlation,sd_correlation,rmse_discrepancy,convergence_rate,classical_conv_rate,symbolic_conv_rate
Chicago,logistic,BFGS,65,65,0.004300000000027163,6.000000000009701e-4,7.166666666700351,0.9999708822695572,0.999750863746649,0.01245946008829898,1,1,1
Chicago,logistic,L-BFGS-B,65,65,0.004766666666667637,6.666666665599526e-4,7.150000001145964,0.9999472931148573,0.9997488440205771,0.012840014993470034,1,1,1
Chicago,normal,BFGS,65,65,0.003800000000046566,6.666666666812186e-4,5.6999999999454305,0.9999607181338678,0.9997666381545526,0.010061546729440719,1,1,1
Chicago,normal,L-BFGS-B,65,65,0.004033333333427436,7.333333333614671e-4,5.499999999917319,0.9999168617974993,0.9997629686754356,0.011225665753835587,1,1,1
Death Valley,logistic,BFGS,65,65,0.004300000000027163,5.66666666660846e-4,7.588235294243527,0.9999881106881017,0.9994201629750464,0.0031420071691778207,1,1,1
Death Valley,logistic,L-BFGS-B,65,65,0.004699999999987389,6.333333333410943e-4,7.421052631468096,0.9999857517186315,0.9994219184610004,0.0032370611628616116,1,1,1
Death Valley,normal,BFGS,65,65,0.0038666666666055485,6.666666666812186e-4,5.799999999781721,0.9999820991111217,0.9994202347701839,0.003026307576008208,1,1,1
Death Valley,normal,L-BFGS-B,65,65,0.004066666666646294,7.000000000213428e-4,5.809523809317574,0.9999638838310893,0.9994160497810248,0.0035638562317651034,1,1,1
Melbourne,logistic,BFGS,65,65,0.004400000000047536,6.000000000009701e-4,7.333333333400703,0.9999771357661023,0.9998240408259986,0.003721860076576495,1,1,1
Melbourne,logistic,L-BFGS-B,65,65,0.004166666666666667,6.000000000009701e-4,6.944444444433216,0.9999784287060453,0.999822381390059,0.0037081145972282757,1,1,1
Melbourne,normal,BFGS,65,65,0.003933333333285797,7.000000000213428e-4,5.619047618808387,0.9999740025894287,0.9998060263307388,0.0032344170140333047,1,1,1
Melbourne,normal,L-BFGS-B,65,65,0.0036000000000058208,6.333333333410943e-4,5.684210526255325,0.9999662006191917,0.999801625601611,0.003433731926302523,1,1,1
Singapore,logistic,BFGS,65,65,0.00523333333330811,6.666666666812186e-4,7.849999999790816,0.9999958770598794,0.9997331113825813,7.704379821386635e-4,1,1,1
Singapore,logistic,L-BFGS-B,65,65,0.004500000000067909,5.000000001018634e-4,8.999999998302277,0.9999959372015133,0.9997317119199219,7.687302645133547e-4,1,1,1
Singapore,normal,BFGS,65,65,0.0042666666666870395,7.333333333614671e-4,5.818181817986389,0.9999977532224198,0.9999026469092306,7.154725848565758e-4,1,1,1
Singapore,normal,L-BFGS-B,65,65,0.0035666666666656966,5.66666666660846e-4,6.294117647121764,0.9999977499666209,0.9999022535454335,7.169176414953347e-4,1,1,1
Yakutsk,logistic,BFGS,65,65,0.004133333333326542,5.66666666660846e-4,7.294117647121763,0.9995810419013956,0.9997683589291761,0.016223589744915546,1,1,1
Yakutsk,logistic,L-BFGS-B,65,65,0.004366666666707412,7.666666665803253e-4,5.69565217460763,0.9891541975136637,0.9997645502351724,0.05424663291650397,1,1,1
Yakutsk,normal,BFGS,65,65,0.003633333333224679,6.333333333410943e-4,5.736842105021298,0.9992036651634694,0.9996693771065595,0.014822235830430136,1,1,1
Yakutsk,normal,L-BFGS-B,65,65,0.004499999999946643,8.333333332605738e-4,5.400000000407454,0.9870110570220337,0.9996360502520758,0.0487646193321478,1,1,1
