date,T2M,RH2M,THI
1984-01-01,21.77,71.73,20.63962405
1984-01-02,20.8,70.6,19.78129
1984-01-03,17.33,57.33,16.66584145
1984-01-04,16.91,63.28,16.4232764
1984-01-05,23.68,51.14,21.2130586
1984-01-06,20.92,69.7,19.850107
1984-01-07,17.83,65.96,17.206557399999998
1984-01-08,17.97,65.96,17.320346599999997
1984-01-09,17.84,68.65,17.2641005
1984-01-10,17.4,67.84,16.887048
1984-01-11,18.87,66.69,18.06939415
1984-01-12,20.9,64.71,19.657791999999997
1984-01-13,23.31,58.26,21.2874883
1984-01-14,24.16,48.78,21.4386814
1984-01-15,21.13,80.34,20.4130981
1984-01-16,15.94,57.21,15.601103199999999
1984-01-17,15.12,64.94,15.000445399999998
1984-01-18,16.11,61.48,15.7689054
1984-01-19,17.44,68.75,16.934687500000003
1984-01-20,17.18,66.58,16.6873892
1984-01-21,15.86,66.34,15.6082232
1984-01-22,15.73,61.88,15.4721182
1984-01-23,21.97,53.59,20.06324515
1984-01-24,22.61,69.03,21.22858315
1984-01-25,17.14,78.73,16.8311596
1984-01-26,16.38,59.82,15.9645388
1984-01-27,15.97,60.95,15.65428075
1984-01-28,18.55,58.93,17.63516575
1984-01-29,18.01,70.31,17.43683455
1984-01-30,15.76,68.99,15.545100699999999
1984-01-31,16.3,68.02,15.983398000000001
1984-02-01,16.53,62.29,16.10896785
1984-02-02,19.94,53.25,18.541240000000002
1984-02-03,21.57,52.77,19.73346145
1984-02-04,18.92,66.58,18.1075598
1984-02-05,20.38,59.81,19.0802554
1984-02-06,22.27,71,21.030685
1984-02-07,18.14,67.24,17.4841448
1984-02-08,17.69,69.53,17.155403850000003
1984-02-09,17.03,64.48,16.535739200000002
1984-02-10,17.62,67.97,17.0703652
1984-02-11,23.67,49.99,21.14774565
1984-02-12,19.85,55.18,18.5311715
1984-02-13,18.2,55.7,17.298495
1984-02-14,20,54.33,18.6184825
1984-02-15,22.35,63.11,20.757274250000002
1984-02-16,19.35,66.94,18.468124500000002
1984-02-17,20.34,67.02,19.2806824
1984-02-18,21.94,65.47,20.5270324
1984-02-19,25.55,55.37,22.83761175
1984-02-20,22.98,70.61,21.6092504
1984-02-21,18.17,72.83,17.62157355
1984-02-22,22.49,57.13,20.60607785
1984-02-23,17.31,59.02,16.6766541
1984-02-24,16.32,64.75,15.9671475
1984-02-25,17.68,69.11,17.1397339
1984-02-26,26.25,51.45,23.11245625
1984-02-27,18.85,62.44,17.951377
1984-02-28,15.37,64.62,15.2007067
1984-02-29,16.37,66.94,16.029977900000002
1984-03-01,15.13,64.87,15.008274550000001
1984-03-02,14.45,72.25,14.457631249999999
1984-03-03,16.08,73.98,15.853886199999998
1984-03-04,18.1,64.13,17.389774
1984-03-05,20.67,53.44,19.0899864
1984-03-06,24.58,40.61,21.2874184
1984-03-07,16.72,59.58,16.2264718
1984-03-08,14.75,60.99,14.69636125
1984-03-09,16.5,60.93,16.07023
1984-03-10,20.83,53.63,19.215628449999997
1984-03-11,17.29,65.13,16.75491985
1984-03-12,20.43,42.91,18.56800965
1984-03-13,15.05,65.54,14.9457585
1984-03-14,14.02,76.49,14.0820664
1984-03-15,15.46,75.38,15.3300064
1984-03-16,15.89,74.73,15.69681085
1984-03-17,19.88,55.78,18.571530199999998
1984-03-18,18.05,68.73,17.43945325
1984-03-19,15.67,81.38,15.5501803
1984-03-20,15.86,82.43,15.7285764
1984-03-21,16.75,76.09,16.45411375
1984-03-22,19.32,70.15,18.5286765
1984-03-23,20.4,66.71,19.319739499999997
1984-03-24,19.14,79.83,18.6252616
1984-03-25,14.2,67.96,14.252866
1984-03-26,13.94,70.23,14.0316916
1984-03-27,12.01,70.53,12.41359165
1984-03-28,13.61,70.23,13.755724149999999
1984-03-29,17.03,55.46,16.4102259
1984-03-30,17.04,74.6,16.685162
1984-03-31,13.88,77.34,13.957270600000001
1984-04-01,14.08,78.49,14.129688100000001
1984-04-02,16.62,71.08,16.2827928
1984-04-03,12.96,70.89,13.2065617
1984-04-04,13.4,69.29,13.5857955
1984-04-05,13.74,74,13.84868
1984-04-06,14.78,77.45,14.745273
1984-04-07,14.34,75.02,14.3619824
1984-04-08,14.12,74.81,14.172647099999999
1984-04-09,14.3,77.12,14.325168000000001
1984-04-10,15.8,69.3,15.580495
1984-04-11,16.61,64.58,16.1989509
