study,replicate,model,optimizer,n,bins,bin_type,truth_mean,truth_sd,class_mean,class_sd,sym_mean,sym_sd,time_classical,time_symbolic,class_loglik,sym_loglik,class_conv,sym_conv,paired_conv,class_boundary_hit,sym_boundary_hit
optimizer_robustness,1,normal,Nelder-Mead,365,50,EW,25,5,24.86858152592204,4.965731438822163,24.86505010905521,4.95842303811957,0.001033333333333338,0.0012999999999999976,-1102.9288111939659,-1314.1086234462268,TRUE,TRUE,TRUE,FALSE,FALSE
optimizer_robustness,1,normal,CG,365,50,EW,25,5,24.86925723093033,4.966842224295239,24.86925723093033,4.973659668337358,0.008900000000000003,0.0020000000000000018,-1102.9287895677057,-1314.1122746260376,TRUE,TRUE,TRUE,FALSE,FALSE
optimizer_robustness,1,normal,Nelder-Mead,365,50,QU,25,5,24.86858152592204,4.965731438822163,24.885885079215633,4.969459812060359,0.001033333333333338,0.0014333333333333383,-1102.9288111939659,-1600.2538872786956,TRUE,TRUE,TRUE,FALSE,FALSE
optimizer_robustness,1,normal,CG,365,50,QU,25,5,24.86925723093033,4.966842224295239,24.884663512433516,4.969563593807957,0.008900000000000003,0.012700000000000008,-1102.9287895677057,-1600.2538747756948,TRUE,TRUE,TRUE,FALSE,FALSE
optimizer_robustness,2,normal,Nelder-Mead,365,50,EW,25,5,25.107399299790284,4.746180866470405,25.100464889386146,4.743187694338235,0.001033333333333338,0.0013666666666666643,-1086.253345383731,-1245.8479685801487,TRUE,TRUE,TRUE,FALSE,FALSE
optimizer_robustness,2,normal,CG,365,50,EW,25,5,25.107673551069812,4.745031448235327,25.107673551069833,4.751544447764321,0.003099999999999999,0.0020333333333333314,-1086.2533233494055,-1245.8493796442601,TRUE,TRUE,TRUE,FALSE,FALSE
optimizer_robustness,2,normal,Nelder-Mead,365,50,QU,25,5,25.107399299790284,4.746180866470405,25.143115121642175,4.6946275913040365,0.001033333333333338,0.0015333333333333273,-1086.253345383731,-1594.3049608788488,TRUE,TRUE,TRUE,FALSE,FALSE
optimizer_robustness,2,normal,CG,365,50,QU,25,5,25.107673551069812,4.745031448235327,25.1422549786527,4.6944369253969676,0.003099999999999999,0.015233333333333344,-1086.2533233494055,-1594.3049534155425,TRUE,TRUE,TRUE,FALSE,FALSE
optimizer_robustness,3,normal,Nelder-Mead,365,50,EW,25,5,24.866895701618265,4.806355034149269,24.853467937377403,4.8175934112216865,0.0010333333333333527,0.001399999999999994,-1091.0218886781174,-1332.8245381729514,TRUE,TRUE,TRUE,FALSE,FALSE
optimizer_robustness,3,normal,CG,365,50,EW,25,5,24.86757136082097,4.807429652609777,24.86757136082106,4.814028284519482,0.007166666666666662,0.0028999999999999916,-1091.021866842177,-1332.8262057504319,TRUE,TRUE,TRUE,FALSE,FALSE
optimizer_robustness,3,normal,Nelder-Mead,365,50,QU,25,5,24.866895701618265,4.806355034149269,24.884963270919528,4.829009602616633,0.0010333333333333527,0.001566666666666657,-1091.0218886781174,-1597.4863347893584,TRUE,TRUE,TRUE,FALSE,FALSE
optimizer_robustness,3,normal,CG,365,50,QU,25,5,24.86757136082097,4.807429652609777,24.884475534581053,4.829439746715874,0.007166666666666662,0.01906666666666667,-1091.021866842177,-1597.4863295813777,TRUE,TRUE,TRUE,FALSE,FALSE
optimizer_robustness,4,normal,Nelder-Mead,365,50,EW,25,5,25.421085505544927,5.057255722425194,25.406908905325544,5.055218802548858,9.999999999999788e-4,0.0012666666666666753,-1109.4300520699312,-1270.7442773128842,TRUE,TRUE,TRUE,FALSE,FALSE
optimizer_robustness,4,normal,CG,365,50,EW,25,5,25.421363183258137,5.056102322140586,25.42136318325832,5.0630422886038255,0.00946666666666666,6.99999999999997e-4,-1109.43003251744,-1270.7467401971069,TRUE,TRUE,TRUE,FALSE,FALSE
optimizer_robustness,4,normal,Nelder-Mead,365,50,QU,25,5,25.421085505544927,5.057255722425194,25.466346367058478,4.9429951264715895,9.999999999999788e-4,0.0016000000000000014,-1109.4300520699312,-1603.353797527569,TRUE,TRUE,TRUE,FALSE,FALSE
optimizer_robustness,4,normal,CG,365,50,QU,25,5,25.421363183258137,5.056102322140586,25.46724184719337,4.942863306395176,0.00946666666666666,0.017233333333333344,-1109.43003251744,-1603.353790493587,TRUE,TRUE,TRUE,FALSE,FALSE
