date,T2M,RH2M,THI
1984-01-01,-40.11,99.61,-39.992861549999994
1984-01-02,-37.96,99.48,-37.8099644
1984-01-03,-32.75,99.95,-32.73700625
1984-01-04,-32.43,99.18,-32.2183457
1984-01-05,-31.3,99.51,-31.176569
1984-01-06,-29.39,99.61,-29.295855949999996
1984-01-07,-29.79,98.19,-29.349093049999997
1984-01-08,-29.77,97.09,-29.06145865
1984-01-09,-29.66,98.4,-29.271392
1984-01-10,-32.98,98.16,-32.49950239999999
1984-01-11,-38.19,98.72,-37.81906239999999
1984-01-12,-40.39,96.5,-39.333367499999994
1984-01-13,-43.69,97.94,-43.030707299999996
1984-01-14,-37.01,97.5,-36.301737499999994
1984-01-15,-39.33,97.25,-38.515821249999995
1984-01-16,-38.06,96.39,-37.016421199999996
1984-01-17,-39.01,96.83,-38.07705314999999
1984-01-18,-42.99,96.7,-41.94655649999999
1984-01-19,-35.91,97.93,-35.33608214999999
1984-01-20,-31.76,97.49,-31.1213807
1984-01-21,-29.14,97.43,-28.5231486
1984-01-22,-28.57,98.18,-28.138869299999996
1984-01-23,-24.09,97.79,-23.620938549999998
1984-01-24,-24.92,98.1,-24.508060999999998
1984-01-25,-29.49,97.42,-28.865781899999998
1984-01-26,-30.83,98.29,-30.40367135
1984-01-27,-28.07,98.41,-27.697725349999995
1984-01-28,-28.72,98.75,-28.422862499999997
1984-01-29,-39.7,96.99,-38.802718999999996
1984-01-30,-44,99.04,-43.69112
1984-01-31,-45.55,97.1,-44.59220249999999
1984-02-01,-44.92,95.02,-43.29248619999999
1984-02-02,-47.72,92.59,-45.18422389999999
1984-02-03,-41.44,96.14,-40.25239379999999
1984-02-04,-37.51,96.97,-36.643253349999995
1984-02-05,-38.75,98.05,-38.17889374999999
1984-02-06,-35.65,97.61,-34.99077825
1984-02-07,-33.09,97.16,-32.3466442
1984-02-08,-31.42,97.47,-30.781023199999996
1984-02-09,-35.53,97.52,-34.8475908
1984-02-10,-35.4,97.45,-34.700152499999994
1984-02-11,-35.08,97.84,-34.4909896
1984-02-12,-35.44,97.93,-34.87143309999999
1984-02-13,-37.13,98.51,-36.70689215
1984-02-14,-32.52,98.15,-32.0415715
1984-02-15,-31.52,98.88,-31.236516799999997
1984-02-16,-30.85,98.56,-30.490828
1984-02-17,-28.39,98.75,-28.095131249999998
1984-02-18,-25.34,98.8,-25.077056
1984-02-19,-21.71,98.84,-21.4789802
1984-02-20,-22.1,98.33,-21.763828999999998
1984-02-21,-29.98,98.78,-29.681539199999996
1984-02-22,-35.69,99.61,-35.58234244999999
1984-02-23,-34.98,98.95,-34.69425299999999
1984-02-24,-31.92,97.33,-31.2383223
1984-02-25,-33.38,99.03,-33.1245602
1984-02-26,-32.81,97.56,-32.1750998
1984-02-27,-32.33,97.21,-31.61139364999999
1984-02-28,-34.13,99.28,-33.9374252
1984-02-29,-30.1,98.68,-29.776204
1984-03-01,-24.24,96.24,-23.438856799999993
1984-03-02,-23.22,96.55,-22.504262999999995
1984-03-03,-23.3,98.03,-22.890437
1984-03-04,-19.62,97.01,-19.0588966
